PN,Dataset,Count,LGB_Winkler_80CI_Mean,LGB_Winkler_80CI_Std,LGB_PICP_80CI,LGB_Winkler_50CI_Mean,LGB_Winkler_50CI_Std,LGB_PICP_50CI,LGB_Q10,LGB_Q90,LGB_Median_Q10_Q90,LGB_Q25,LGB_Q75,LGB_Median_Q25_Q75,LGB_MAE_Mean,LGB_MAE_Std,TF_Winkler_80CI_Mean,TF_Winkler_80CI_Std,TF_PICP_80CI,TF_Winkler_50CI_Mean,TF_Winkler_50CI_Std,TF_PICP_50CI,TF_Q10,TF_Q90,TF_Median_Q10_Q90,TF_Q25,TF_Q75,TF_Median_Q25_Q75,TF_MAE_Mean,TF_MAE_Std,LGB_PICP_80CI_Pct,LGB_PICP_50CI_Pct,TF_PICP_80CI_Pct,TF_PICP_50CI_Pct
3125400-10,Test,3,12.697928570233598,0.7163503277995237,0.3333333333333333,7.8983321734367635,1.2319002825737655,0.3333333333333333,5.511554185361457,17.88989057019265,12.415251690609725,7.822601465310309,14.085310051138203,6.312548925104146,5.835652313241055,2.907046802625099,11.40257749557495,1.2757609649455184,0.3333333333333333,6.77661657333374,1.3048522386268147,0.3333333333333333,3.4612093,14.811432,11.144278,5.6486487,11.511996,5.7271547,3.9519367218017583,1.7217256458660832,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
3125400-10,Validation,3,11.389404763038003,0.7796084992309713,0.6666666666666666,6.591412972049124,0.9274473058141917,0.3333333333333333,5.345867825695579,16.652744106886843,11.349129566821112,8.081525245557115,13.99981977708248,5.850154696567744,4.072071319625671,1.9323266040297489,12.105989138285318,0.1612425354724939,1.0,6.877381483713786,0.386937765398854,0.3333333333333333,4.049319,16.155308,12.040477,6.41353,12.653229,6.194315,3.6907526652018228,1.8579455665113789,66.66666666666666,33.33333333333333,100.0,33.33333333333333
312BS101-1,Test,3,14.593941264107011,0.39143781123049437,1.0,7.196694725611391,0.5860420404566916,0.3333333333333333,14.109535707907883,28.703476972014894,14.859143654603214,17.5733588372814,24.371969476713755,7.0590935582911705,3.4477278481281224,1.4936269220466019,21.575223922729492,0.2883777937554849,1.0,10.330281575520834,0.11612407818887745,1.0,13.43443,35.009655,21.657532,18.422094,28.752375,10.386959,2.741414388020832,1.5581303336726444,100.0,33.33333333333333,100.0,100.0
312BS101-1,Validation,3,14.278995541978091,1.0385332729961203,1.0,7.563976758056145,0.7720903524109244,0.6666666666666666,12.932132038382605,27.211127580360692,14.0626370868995,16.465860821983487,23.59085149931019,7.202853020289737,3.431493891035173,2.036289445860756,18.988866170247395,0.9854518915038778,1.0,9.048489888509115,0.4503179322104065,1.0,11.043996,30.032862,19.181578,15.485691,24.534182,9.073704,5.094416936238608,0.6900952707842024,100.0,66.66666666666666,100.0,100.0
314-2100-3,Test,3,13.455845082596165,0.4110540460172824,1.0,7.10681826657684,0.2083076575907171,0.6666666666666666,8.357116440002075,21.81296152259824,13.315693472982362,11.297504677183651,18.363155828816463,7.097598235386963,1.8543595439255618,0.9418417364741475,15.026371320088705,0.12425345521860895,1.0,7.7963612874348955,0.059932376412825464,1.0,7.016533,22.042906,15.076008,10.242692,18.039053,7.7624664,1.8502705891927096,1.174262590568964,100.0,66.66666666666666,100.0,100.0
314-2100-3,Validation,3,13.390410868020103,0.646236565912132,0.6666666666666666,7.3354827331952235,0.7778838565837869,0.6666666666666666,8.6640616387887,22.049440501461618,13.84429576109369,11.946777200261906,18.760464681522937,6.840552892145629,2.924781247453348,2.077448433282307,15.225133895874023,0.40760810628182564,1.0,8.294273217519125,0.7851318442589805,0.6666666666666666,7.1634145,22.388548,15.39345,10.50425,18.323145,7.9140196,3.50055154164632,2.278946517838403,66.66666666666666,66.66666666666666,100.0,66.66666666666666
320-401-201-0,Test,3,12.139318367624638,0.372048220643207,1.0,7.427639982793308,0.39567875486475484,0.3333333333333333,7.029476016410871,19.168794384035508,12.232775595767938,9.16475404770305,16.23444982537624,7.074794778997447,2.830514616756774,1.6193397249588768,14.720868428548178,0.5830871639099742,1.0,8.393243789672852,0.8234758266296188,0.3333333333333333,6.5775414,21.29841,14.79006,9.716771,17.359306,7.702793,3.975423177083331,1.6813130525407014,100.0,33.33333333333333,100.0,33.33333333333333
320-401-201-0,Validation,3,12.738279518351225,0.5223275863947021,1.0,6.819464795049075,0.34114360211749806,1.0,5.554800004309886,18.29307952266111,12.417191598341466,7.9715847443375445,14.79104953938662,6.8238659547209775,1.0238520944566503,0.7164205817002052,13.928252538045248,0.007421099539223822,1.0,7.217165946960449,0.004475894683206796,1.0,5.6636004,19.591852,13.931259,8.574086,15.791252,7.2190905,1.0400727589925118,0.5876788041535216,100.0,100.0,100.0,100.0
3202222-1,Test,3,14.101370788531923,0.49128008187532884,0.3333333333333333,10.709343900589,1.7907663495684008,0.3333333333333333,17.5959454835041,30.9272589142644,13.407418238805018,20.364316057788233,28.155522458637932,8.582563926055926,8.692827195660188,5.1464868750104085,26.79325993855794,0.21061804447185886,1.0,12.990002950032553,0.39156098753772745,0.6666666666666666,18.517284,45.310547,26.904911,24.81455,37.438095,12.693253,4.584397633870442,4.158421820511144,33.33333333333333,33.33333333333333,100.0,66.66666666666666
3202222-1,Validation,3,14.07837109371516,1.229083825314858,0.6666666666666666,10.102366631837535,2.8653262925085894,0.3333333333333333,16.866830292190098,30.344560538623444,12.734133392047855,18.803786090009748,26.62472947336667,8.192927253419715,6.999878121200074,6.459501713065485,21.55892041524251,1.2787396134737248,0.6666666666666666,11.322235743204752,2.0311562917575428,0.6666666666666666,13.417647,34.95538,22.377094,18.47925,28.672182,10.546692,8.043208440144857,4.093649870500522,66.66666666666666,33.33333333333333,66.66666666666666,66.66666666666666
