AircraftFamily,fleet_count,age_mean,age_median,age_min,age_max,build_year_min,build_year_max,build_year_mean,order_year_min,order_year_max,order_year_mean,lease_start_year_median,num_operators,num_owners,num_countries_operated_for,age_0_8_count,age_0_8_share,age_8_15_count,age_8_15_share,age_15_20_count,age_15_20_share,age_20_30_count,age_20_30_share,age_30_plus_count,age_30_plus_share,age_15_25_count,age_15_25_share,age_25_plus_count,age_25_plus_share,share_owned,share_leased,share_operating_lease,share_finance_lease,share_gov_mil,share_commercial
A300 Family,581,37.2846775780152,38.51060917180013,8.0,52.97741273100616,1972.0,2018.0,1988.04991394148,1971.0,2005.0,1985.6782608695653,2012.0,143,146,43,0,0.0,6,0.010327022375215147,14,0.024096385542168676,99,0.1703958691910499,462,0.7951807228915663,66,0.11359724612736662,509,0.8760757314974182,0.9535283993115319,0.04647160068846816,0.03270223752151463,0.0,0.0034423407917383822,0.7142857142857143
A310 Family,267,36.14963841399483,37.38809034907597,6.803559206023271,43.5482546201232,1982.0,2018.0,1989.2172284644196,1979.0,1997.0,1985.3370786516855,1999.0,92,92,40,1,0.003745318352059925,11,0.04119850187265917,0,0.0,5,0.018726591760299626,250,0.9363295880149812,0,0.0,255,0.9550561797752809,0.9737827715355806,0.026217228464419477,0.0149812734082397,0.0,0.06367041198501873,0.6254681647940075
A320 Family,12827,12.407490520269024,10.86379192334018,0.008213552361396304,38.65845311430527,1987.0,2025.0,2012.875263116863,1983.0,2024.0,2008.2245885014431,2019.0,718,893,123,4923,0.3837997973025649,3433,0.26763857488111015,1878,0.1464099165822094,2039,0.15896156544788337,554,0.04319014578623217,3113,0.24269119825368363,1358,0.1058704295626413,0.4361892882201606,0.5638107117798394,0.4808606844936462,0.034302642862711466,0.004599672565681765,0.8726124580962034
A330 Family,1740,14.188846011627998,13.56605065023956,0.01642710472279261,32.9637234770705,1992.0,2025.0,2011.106896551724,1987.0,2024.0,2007.6115606936416,2018.0,250,330,84,353,0.2028735632183908,647,0.3718390804597701,360,0.20689655172413793,339,0.19482758620689655,41,0.023563218390804597,569,0.32701149425287357,171,0.09827586206896552,0.5597701149425287,0.44022988505747124,0.3626436781609195,0.05517241379310345,0.045402298850574715,0.7908045977011494
A340 Family,383,24.91806641968822,24.84599589322382,14.80355920602327,33.9876796714579,1991.0,2010.0,2000.3916449086162,1987.0,2008.0,1997.2125984251968,2024.0,121,120,51,0,0.0,2,0.005221932114882507,68,0.17754569190600522,242,0.6318537859007833,71,0.185378590078329,194,0.5065274151436031,187,0.48825065274151436,0.9295039164490861,0.07049608355091384,0.06788511749347259,0.007832898172323759,0.04177545691906005,0.5143603133159269
A350 Family,858,5.057994253066122,5.12662559890486,0.04654346338124572,13.80424366872005,2011.0,2025.0,2020.2097902097903,2007.0,2024.0,2012.0046893317701,2020.5,54,112,34,716,0.8344988344988346,142,0.1655011655011655,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.6013986013986014,0.3986013986013986,0.3041958041958042,0.12703962703962704,0.0034965034965034965,0.9324009324009324
A380 Family,335,9.860745553546435,10.72689938398357,0.3477070499657768,20.48186173853525,2005.0,2025.0,2015.4179104477612,2001.0,2018.0,2007.7560240963855,2016.0,25,45,14,104,0.31044776119402984,178,0.5313432835820896,51,0.15223880597014924,2,0.005970149253731343,0,0.0,53,0.1582089552238806,0,0.0,0.7671641791044777,0.23283582089552238,0.21791044776119403,0.07761194029850746,0.0,0.8567164179104477
A400 Family,144,7.123469465358582,7.5044490075290895,0.2217659137577002,15.85763175906913,2009.0,2025.0,2018.1875,2003.0,2021.0,2003.31654676259,,12,12,9,82,0.5694444444444444,59,0.4097222222222222,3,0.020833333333333332,0,0.0,0,0.0,3,0.020833333333333332,0,0.0,1.0,0.0,0.0,0.0,0.9652777777777778,0.0
AG-600 Family,7,2.8841302434731593,2.863791923340178,0.1752224503764545,7.822039698836414,2017.0,2025.0,2022.2857142857142,2017.0,2017.0,2017.0,,2,2,1,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.0
AN-124 Family,55,34.7001182253749,35.30458590006845,21.38535249828884,42.82272416153319,1982.0,2004.0,1990.5636363636363,1981.0,2001.0,1987.6415094339623,1992.0,11,10,4,0,0.0,0,0.0,0,0.0,5,0.09090909090909091,50,0.9090909090909091,3,0.05454545454545454,52,0.9454545454545454,0.9272727272727272,0.07272727272727272,0.07272727272727272,0.0,0.43636363636363634,0.5272727272727272
